City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
klaksvik,71,FO,1588213374,86,62.23,-6.59,1.0,2.1
kempsey,95,AU,1588213374,67,-31.08,152.83,25.56,3.13
yellowknife,40,CA,1588213374,56,62.46,-114.35,7.0,5.7
provideniya,90,RU,1588213374,73,64.38,-173.3,-3.0,2.0
namibe,0,AO,1588213374,66,-15.2,12.15,23.66,3.02
maniitsoq,0,GL,1588213374,82,65.42,-52.9,0.16,3.66
tiszakarad,37,HU,1588213374,93,48.2,21.72,13.0,2.6
port alfred,0,ZA,1588213375,83,-33.59,26.89,15.0,2.63
ushuaia,75,AR,1588213375,65,-54.8,-68.3,8.0,1.97
kaitangata,100,NZ,1588213375,42,-46.28,169.85,17.78,3.13
busselton,0,AU,1588213375,36,-33.65,115.33,17.78,6.46
guadalupe y calvo,74,MX,1588213376,19,26.1,-106.97,15.9,0.54
atuona,36,PF,1588213376,78,-9.8,-139.03,27.87,8.3
albany,100,US,1588213376,43,42.6,-73.97,11.67,7.48
mahajanga,20,MG,1588213376,78,-15.72,46.32,22.0,2.1
mount isa,13,AU,1588213376,25,-20.73,139.5,23.0,9.8
suhbaatar,98,MN,1588213376,32,50.23,106.21,22.36,5.71
kristiansund,3,NO,1588213225,86,63.11,7.73,4.0,5.7
hermanus,1,ZA,1588213341,58,-34.42,19.23,16.85,2.95
coahuayana,50,MX,1588213377,75,18.73,-103.68,21.63,0.81
luau,0,AO,1588213378,50,-10.71,22.22,16.03,1.85
batagay-alyta,100,RU,1588213378,89,67.8,130.41,-6.95,4.35
sorland,0,NO,1588213379,74,67.67,12.69,3.01,5.16
hithadhoo,98,MV,1588213379,73,-0.6,73.08,28.9,2.68
makakilo city,20,US,1588213092,48,21.35,-158.09,29.0,5.7
sharlyk,100,RU,1588213379,56,52.92,54.75,8.81,9.49
sur,17,OM,1588213141,48,22.57,59.53,30.95,2.09
bud,0,US,1588213380,91,39.45,-86.18,11.67,3.33
affery,100,CI,1588213380,94,6.32,-3.96,23.86,1.33
longyearbyen,75,SJ,1588213381,86,78.22,15.64,1.0,9.3
cape town,0,ZA,1588212883,81,-33.93,18.42,12.78,2.6
puerto ayora,3,EC,1588213382,87,-0.74,-90.35,25.56,1.34
narsaq,0,GL,1588213382,59,60.92,-46.05,2.0,0.5
constitucion,0,CL,1588213382,81,-35.33,-72.42,12.12,5.85
conde,40,BR,1588213382,94,-7.26,-34.91,25.0,2.1
khatanga,68,RU,1588213382,96,71.97,102.5,-9.7,1.97
bredasdorp,0,ZA,1588213382,76,-34.53,20.04,10.0,0.5
cabo san lucas,5,MX,1588213383,25,22.89,-109.91,30.0,3.6
starobaltachevo,100,RU,1588213385,86,56.0,55.92,7.29,9.31
meulaboh,100,ID,1588213385,92,4.14,96.13,24.86,4.53
victoria,99,HK,1588213271,61,22.29,114.16,26.67,4.02
saint-philippe,75,RE,1588213385,83,-21.36,55.77,23.0,4.1
hobart,75,AU,1588213385,76,-42.88,147.33,14.44,3.1
banapur,6,IN,1588213385,76,19.78,85.18,29.27,3.29
tuatapere,98,NZ,1588213385,64,-46.13,167.68,16.67,4.92
marquette,100,US,1588213386,78,46.53,-87.63,5.56,2.24
bayan,100,CN,1588213386,60,46.08,127.4,15.0,6.11
matagami,90,CA,1588213386,56,49.75,-77.63,7.0,3.6
leningradskiy,0,RU,1588213386,91,69.38,178.42,-1.99,1.48
nioro,7,GM,1588213386,47,13.35,-15.75,24.91,2.87
tuktoyaktuk,75,CA,1588213386,71,69.45,-133.04,-16.0,1.0
ancud,90,CL,1588213386,100,-41.87,-73.82,12.78,2.6
lagoa,100,PT,1588213386,93,39.05,-27.98,17.46,11.72
san carlos,100,VE,1588213387,66,9.66,-68.58,26.55,1.75
murygino,92,RU,1588213387,91,58.74,49.46,4.0,3.53
turukhansk,0,RU,1588213387,88,65.82,87.98,-3.51,4.4
xai-xai,16,MZ,1588213387,95,-25.05,33.64,18.81,1.76
garden city,90,US,1588213387,71,42.33,-83.33,15.0,3.6
torbay,90,CA,1588213388,86,47.67,-52.73,0.56,5.1
kungsbacka,98,SE,1588213388,55,57.49,12.08,5.0,4.6
kodiak,1,US,1588213128,43,57.79,-152.41,11.0,5.1
bubaque,6,GW,1588213388,79,11.28,-15.83,25.66,5.61
coquimbo,97,CL,1588213388,87,-29.95,-71.34,14.0,2.6
chokurdakh,40,RU,1588213388,94,70.63,147.92,-7.73,1.74
salvador,40,SV,1588213388,79,13.83,-88.92,29.0,3.1
kahului,40,US,1588213388,57,20.89,-156.47,27.0,9.8
roald,43,NO,1588213389,80,62.58,6.13,5.0,3.6
kruisfontein,65,ZA,1588213389,42,-34.0,24.73,13.23,2.36
kattivakkam,40,IN,1588213389,84,13.22,80.32,30.0,2.1
port blair,39,IN,1588213389,70,11.67,92.75,29.88,3.09
forbes,100,AU,1588213389,96,-33.38,148.02,10.0,4.55
qaanaaq,100,GL,1588213389,90,77.48,-69.36,-9.32,7.46
vargem grande,100,BR,1588213389,91,-3.54,-43.92,24.09,0.61
cherskiy,97,RU,1588213389,96,68.75,161.3,-2.75,2.65
sungurlu,100,TR,1588213390,40,40.17,34.37,12.22,2.23
kondinskoye,62,RU,1588213390,88,59.65,67.41,6.94,3.2
el paso,1,US,1588213200,16,31.76,-106.49,26.11,4.6
jalu,0,LY,1588213391,29,29.03,21.55,24.04,5.58
vestmannaeyjar,0,IS,1588213391,66,63.44,-20.27,5.38,4.78
chunskiy,100,RU,1588213391,63,56.08,99.63,13.85,6.92
kuzovatovo,100,RU,1588213391,77,53.55,47.69,10.16,6.17
mareeba,75,AU,1588213391,58,-17.0,145.43,31.11,4.1
lazaro cardenas,92,MX,1588213096,73,17.96,-102.2,24.33,2.3
saint-augustin,66,CA,1588213392,78,51.23,-58.65,2.82,2.71
vila velha,75,BR,1588213392,94,-20.33,-40.29,21.67,2.1
vysokogornyy,7,RU,1588213392,35,50.12,139.15,14.18,7.67
scarborough,100,GB,1588213174,94,54.28,-0.4,7.78,0.89
chuy,0,UY,1588213392,69,-33.7,-53.46,13.92,5.76
cleveland,90,US,1588213238,72,41.5,-81.7,16.0,7.2
necochea,1,AR,1588213205,83,-38.55,-58.74,14.44,5.36
port augusta,8,AU,1588213271,71,-32.5,137.77,13.0,9.3
bambous virieux,75,MU,1588213393,83,-20.34,57.76,23.89,5.1
tilichiki,100,RU,1588213393,96,60.47,166.1,-1.69,2.54
butaritari,89,KI,1588213394,81,3.07,172.79,28.32,7.24
rosarito,90,MX,1588213394,82,32.33,-117.03,18.89,2.72
fortuna,75,US,1588213394,87,40.6,-124.16,16.67,4.6
mar del plata,40,AR,1588213221,82,-38.0,-57.56,15.0,5.1
bodden town,82,KY,1588213280,70,19.28,-81.25,28.33,2.24
itirucu,40,BR,1588213394,80,-13.53,-40.15,16.32,1.46
lompoc,1,US,1588213366,82,34.64,-120.46,14.0,6.2
paracuru,99,BR,1588213394,87,-3.41,-39.03,23.89,1.79
georgetown,20,MY,1588213210,88,5.41,100.34,31.0,0.5
kieta,1,PG,1588213395,66,-6.22,155.63,30.4,2.58
katsuura,20,JP,1588213395,60,35.13,140.3,22.22,1.5
amapa,100,BR,1588213395,95,1.0,-52.0,22.75,1.29
vostok,51,RU,1588213395,25,46.49,135.88,15.58,3.99
beruwala,100,LK,1588213395,87,6.48,79.98,27.06,2.23
srednekolymsk,99,RU,1588213396,98,67.45,153.68,-2.01,1.92
husavik,90,IS,1588213396,69,66.04,-17.34,2.0,6.7
asau,67,RO,1588213150,78,46.43,26.4,10.56,2.4
hokitika,59,NZ,1588213396,69,-42.72,170.97,13.25,1.75
kailua,20,US,1588213396,57,21.4,-157.74,28.0,8.2
acapulco,5,MX,1588213397,78,16.86,-99.89,26.0,3.6
angoche,0,MZ,1588213397,80,-16.23,39.91,22.86,2.45
carnarvon,87,AU,1588213397,19,-24.87,113.63,26.0,7.7
faya,64,SA,1588213397,72,18.39,42.45,17.0,4.1
rio gallegos,90,AR,1588213397,93,-51.62,-69.22,7.0,4.6
san patricio,5,MX,1588213397,69,19.22,-104.7,27.0,5.1
saint anthony,1,US,1588213204,36,45.02,-93.22,16.0,4.1
parczew,90,PL,1588213398,100,51.64,22.9,8.0,2.6
talara,4,PE,1588213398,79,-4.58,-81.27,21.87,5.6
shiki,40,JP,1588213398,52,35.83,139.58,23.89,2.6
sampit,82,ID,1588213398,79,-2.53,112.95,29.16,0.69
tasiilaq,0,GL,1588213398,86,65.61,-37.64,0.0,7.7
clonakilty,39,IE,1588213398,93,51.62,-8.87,3.33,3.1
poddorye,4,RU,1588213204,98,57.47,31.12,-2.29,1.89
esfarayen,40,IR,1588213283,87,37.08,57.51,11.0,1.0
iqaluit,90,CA,1588213399,92,63.75,-68.51,-2.0,5.1
ihosy,94,MG,1588213400,69,-22.4,46.12,18.21,3.42
paamiut,0,GL,1588213400,87,61.99,-49.67,0.18,3.75
manhumirim,21,BR,1588213400,73,-20.36,-41.96,16.35,0.29
codrington,38,AU,1588213401,68,-38.27,141.97,12.02,10.52
tura,0,IN,1588213401,60,25.52,90.22,25.27,1.49
naze,20,JP,1588213401,53,28.37,129.48,22.0,2.1
matara,100,LK,1588213402,82,5.95,80.54,27.39,0.69
lorengau,100,PG,1588213402,92,-2.02,147.27,26.06,5.66
barrow,1,US,1588213308,84,71.29,-156.79,-16.0,5.7
encarnacion,2,PY,1588213402,82,-27.33,-55.9,17.61,2.03
bathsheba,20,BB,1588213403,69,13.22,-59.52,27.0,8.7
chara,87,RU,1588213403,49,56.91,118.26,6.35,0.43
hofn,13,IS,1588213403,73,64.25,-15.21,3.89,4.32
beidao,33,CN,1588213403,23,34.57,105.89,23.18,1.32
dunedin,100,NZ,1588213167,52,-45.87,170.5,15.0,2.24
banda aceh,99,ID,1588213403,75,5.56,95.32,27.93,2.46
port lincoln,5,AU,1588213404,55,-34.73,135.87,14.12,9.32
solnechnyy,100,RU,1588213404,25,50.72,136.63,18.07,6.56
galveston,1,US,1588213398,41,29.37,-94.97,24.44,5.7
arraial do cabo,0,BR,1588213405,84,-22.97,-42.03,23.25,9.2
bobcaygeon,90,CA,1588213405,71,44.55,-78.54,13.0,7.2
progreso,0,MX,1588213405,84,21.28,-89.67,28.33,6.25
batagay,100,RU,1588213406,91,67.63,134.63,-4.5,3.87
port hardy,90,CA,1588213407,100,50.7,-127.42,8.0,2.04
gat,52,IL,1588213407,79,31.61,34.76,14.44,1.3
dabola,100,GN,1588213407,66,10.75,-11.12,24.6,1.85
tharad,0,IN,1588213407,34,24.4,71.63,30.89,3.99
beringovskiy,100,RU,1588213408,94,63.05,179.32,-1.98,3.32
mehamn,20,NO,1588213408,94,71.04,27.85,-4.11,2.58
bluff,100,NZ,1588213408,64,-46.6,168.33,16.67,4.92
dawson creek,20,CA,1588213132,17,55.77,-120.24,14.0,3.1
arlit,0,NE,1588213408,10,18.74,7.39,32.15,4.65
severodvinsk,20,RU,1588213408,86,64.56,39.83,-2.0,2.0
barkhan,68,PK,1588213408,25,29.9,69.53,25.3,1.16
alofi,90,NU,1588213408,94,-19.06,-169.92,24.0,6.2
calnic,20,RO,1588213409,100,45.88,23.67,10.0,1.0
la spezia,100,IT,1588213409,89,44.11,9.84,14.44,3.52
valparaiso,16,CL,1588213189,71,-33.04,-71.63,12.0,2.1
salalah,40,OM,1588213409,94,17.02,54.09,28.0,2.6
malanje,8,AO,1588213409,69,-9.54,16.34,17.27,1.19
punta alta,0,AR,1588213242,73,-38.88,-62.07,14.01,2.21
smidovich,44,RU,1588213187,24,48.6,133.82,20.55,7.42
faanui,12,PF,1588213409,69,-16.48,-151.75,27.8,0.77
hasaki,75,JP,1588213410,72,35.73,140.83,22.78,3.6
sabla,2,NG,1588213410,49,12.75,4.71,29.33,5.44
brokopondo,100,SR,1588213410,87,4.75,-55.17,24.86,4.07
hami,0,CN,1588213410,9,42.8,93.45,28.72,2.45
hilo,20,US,1588213334,57,19.73,-155.09,27.0,5.1
mercedes,0,AR,1588213411,80,-34.65,-59.43,13.33,3.03
camacha,20,PT,1588213411,82,33.08,-16.33,17.0,2.6
qaqortoq,0,GL,1588213127,59,60.72,-46.03,2.0,0.5
the valley,40,AI,1588213411,74,18.22,-63.06,27.0,4.6
saint-georges,20,GD,1588213411,78,12.06,-61.75,27.0,2.6
medicine hat,90,CA,1588213199,32,50.05,-110.67,21.11,2.6
liverpool,100,GB,1588213323,76,53.41,-2.98,9.0,5.7
airai,100,TL,1588213412,41,-8.93,125.41,22.91,1.5
castro,100,BR,1588213412,57,-24.79,-50.01,15.37,1.65
ushtobe,100,KZ,1588213412,47,45.25,77.98,16.9,4.13
quatre cocos,75,MU,1588213412,83,-20.21,57.76,23.89,5.1
kununurra,4,AU,1588213413,21,-15.77,128.73,34.0,5.1
kudahuvadhoo,16,MV,1588213413,74,2.67,72.89,29.23,3.81
sao joao da barra,18,BR,1588213413,85,-21.64,-41.05,22.4,2.97
jackson,40,US,1588213413,40,42.42,-122.83,21.0,7.7
itupiranga,95,BR,1588213413,100,-5.13,-49.33,26.0,1.0
rincon,75,US,1588213227,78,32.3,-81.24,23.0,8.2
nome,1,US,1588213414,80,64.5,-165.41,1.67,4.6
colac,62,AU,1588213414,95,-38.33,143.58,12.22,0.89
moranbah,15,AU,1588213414,49,-22.0,148.05,28.06,2.15
petropavlovsk-kamchatskiy,31,RU,1588213415,29,53.05,158.65,9.0,6.0
otavalo,75,EC,1588213416,93,0.23,-78.27,15.0,2.6
pozo colorado,0,PY,1588213416,71,-23.49,-58.8,23.93,1.36
ostrovnoy,100,RU,1588213263,96,68.05,39.51,-1.99,6.39
mahebourg,75,MU,1588213416,83,-20.41,57.7,23.0,5.1
pisco,34,PE,1588213416,73,-13.7,-76.22,21.0,4.1
soldotna,1,US,1588213218,27,60.49,-151.06,11.67,3.1
arroyo,90,ES,1588213416,87,41.61,-4.8,10.0,4.1
flinders,100,AU,1588213417,80,-34.58,150.86,16.11,1.79
general roca,100,AR,1588213417,87,-39.03,-67.58,8.0,2.07
pucara,100,PE,1588213417,20,-15.98,-71.46,5.34,0.05
thinadhoo,33,MV,1588213417,68,0.53,72.93,29.49,2.37
onda,100,ES,1588213417,52,39.97,-0.25,18.89,3.1
cedral,1,MX,1588213417,27,23.8,-100.73,22.25,4.95
lulea,26,SE,1588213417,92,65.58,22.15,-2.0,1.5
piacabucu,72,BR,1588213418,84,-10.41,-36.43,25.07,2.96
kefalos,40,GR,1588213418,88,36.75,26.96,17.0,3.1
zhangjiakou,0,CN,1588213418,13,40.81,114.88,25.46,1.76
malangwa,96,NP,1588213418,35,26.86,85.56,29.06,3.76
merauke,100,ID,1588213418,86,-8.47,140.33,27.47,4.17
saint simons,20,US,1588213418,78,31.14,-81.39,23.0,5.7
senj,0,HR,1588213419,95,44.99,14.91,12.22,0.45
bonavista,0,CA,1588213419,88,48.65,-53.11,0.0,3.58
quesnel,90,CA,1588213135,87,53.0,-122.5,10.0,1.5
ilulissat,0,GL,1588213419,45,69.22,-51.1,-3.0,2.1
quelimane,0,MZ,1588213212,91,-17.88,36.89,18.74,1.29
college,20,US,1588213420,34,64.86,-147.8,3.0,7.2
westport,90,US,1588213420,81,41.14,-73.36,9.0,6.2
kupang,20,ID,1588213421,46,-10.17,123.58,33.0,4.1
khash,0,IR,1588213421,18,28.22,61.22,21.38,0.39
nouadhibou,60,MR,1588213421,82,20.93,-17.03,19.0,9.3
san cristobal,40,VE,1588213421,69,7.77,-72.22,28.0,1.5
san rafael,0,AR,1588213422,40,-34.62,-68.33,16.06,3.74
puerto madero,40,MX,1588213422,79,14.72,-92.42,29.0,5.19
maningrida,80,AU,1588213422,43,-12.07,134.27,31.45,4.27
mantua,26,IT,1588213422,89,45.17,10.78,11.67,0.89
ilebo,100,CD,1588213422,78,-4.32,20.58,22.17,0.47
tacna,90,PE,1588213303,72,-18.01,-70.25,20.0,1.0
clyde river,1,CA,1588213423,66,70.47,-68.59,-9.0,6.2
saint-francois,100,FR,1588213423,76,46.42,3.91,12.0,3.1
bethel,90,US,1588213413,70,41.37,-73.41,8.89,5.1
asfi,0,MA,1588213423,74,32.3,-9.24,16.04,7.24
voh,17,NC,1588213423,58,-20.97,164.7,28.87,2.93
salym,0,RU,1588213423,83,60.06,71.48,8.59,2.49
sao filipe,15,CV,1588213424,64,14.9,-24.5,24.34,6.4
sokoto,0,NG,1588213424,46,13.06,5.24,28.55,4.58
los llanos de aridane,20,ES,1588213424,72,28.66,-17.92,18.0,4.1
dois riachos,88,BR,1588213424,90,-9.39,-37.1,21.85,2.0
conceicao do araguaia,77,BR,1588213424,83,-8.26,-49.26,26.0,1.0
kavieng,100,PG,1588213424,91,-2.57,150.8,25.42,1.65
banjar,20,ID,1588213425,84,-8.19,114.97,30.0,5.1
netarhat,0,IN,1588213425,33,23.48,84.27,24.27,1.35
perene,100,PE,1588213425,64,-10.95,-75.23,22.02,0.95
sherlovaya gora,59,RU,1588213425,21,50.57,116.25,16.79,3.18
tiarei,35,PF,1588213425,74,-17.53,-149.33,30.0,4.1
puerto quijarro,100,BO,1588213425,64,-17.78,-57.77,24.23,0.61
harper,46,LR,1588213425,84,4.38,-7.72,26.68,1.57
yulara,0,AU,1588213425,35,-25.24,130.99,14.0,7.2
luderitz,67,NA,1588213426,87,-26.65,15.16,14.0,1.5
ahipara,81,NZ,1588213426,61,-35.17,173.17,18.72,3.31
shimoda,0,JP,1588213426,63,34.67,138.95,19.0,2.6
severo-kurilsk,6,RU,1588213426,88,50.68,156.12,1.03,4.14
paita,12,PE,1588213426,73,-5.09,-81.11,22.03,6.31
takoradi,87,GH,1588213426,87,4.88,-1.76,26.5,2.57
mandalgovi,0,MN,1588213426,22,45.76,106.27,20.26,3.23
egvekinot,94,RU,1588213427,93,66.32,-179.17,-4.02,2.24
el alto,16,PE,1588213413,70,-4.27,-81.21,21.67,5.89
hajdusamson,46,HU,1588213321,100,47.6,21.77,12.0,2.1
myitkyina,94,MM,1588213427,62,25.38,97.4,24.42,1.16
kommunisticheskiy,100,RU,1588213427,88,61.68,64.48,3.38,1.89
iquitos,20,PE,1588213427,94,-3.75,-73.25,25.0,1.0
markova,99,UA,1588213427,69,48.68,24.41,9.82,2.03
alta gracia,0,AR,1588213428,67,-31.65,-64.43,17.78,3.6
kalmunai,99,LK,1588213428,75,7.42,81.82,28.61,0.66
asosa,93,ET,1588213429,35,10.07,34.53,21.66,1.09
hunchun,98,CN,1588213429,55,42.87,130.36,15.02,1.34
ban pong,51,TH,1588213429,75,13.82,99.88,33.33,2.48
hervey bay,100,AU,1588213429,72,-25.3,152.85,27.78,2.24
naya bazar,66,IN,1588213429,46,27.13,88.27,24.7,0.58
kumta,79,IN,1588213429,75,14.42,74.4,29.07,1.49
aksu,0,CN,1588213429,12,41.12,80.26,24.22,1.56
norman wells,90,CA,1588213429,85,65.28,-126.83,-7.0,6.2
te anau,100,NZ,1588213430,69,-45.42,167.72,12.72,3.47
aromashevo,21,RU,1588213430,60,56.86,68.64,7.95,5.01
margate,100,GB,1588213430,78,51.38,1.39,8.33,2.68
tual,100,ID,1588213430,79,-5.67,132.75,28.16,5.33
dikson,100,RU,1588213430,95,73.51,80.55,-6.06,3.44
zharkent,95,KZ,1588213430,40,44.16,80.0,19.88,4.26
guerrero negro,0,MX,1588213431,70,27.98,-114.06,18.28,6.69
panjab,17,AF,1588213431,29,34.39,67.02,7.1,1.24
goderich,100,CA,1588213431,76,43.75,-81.72,15.0,9.48
kaohsiung,75,TW,1588213370,51,22.62,120.31,30.0,4.1
xiongyue,51,CN,1588213431,60,40.18,122.12,16.33,5.25
kysyl-syr,48,RU,1588213431,77,63.9,122.76,2.47,0.8
ixtapa,5,MX,1588213431,74,20.7,-105.2,26.0,4.1
poum,0,NC,1588213431,74,-20.23,164.02,26.12,2.77
portland,36,US,1588213291,72,45.52,-122.68,18.89,4.83
kurilsk,61,RU,1588213432,82,45.23,147.88,4.66,4.58
lamu,55,KE,1588212901,85,-2.27,40.9,26.44,4.85
nombre de dios,97,MX,1588213432,28,23.85,-104.23,18.7,3.65
baruun-urt,21,MN,1588213432,30,46.68,113.28,17.96,4.33
victor harbor,90,AU,1588213432,89,-35.57,138.62,12.78,2.68
sao felix do xingu,72,BR,1588213432,90,-6.64,-51.99,22.71,1.08
esperance,90,AU,1588213432,51,-33.87,121.9,16.0,6.2
lebu,60,CL,1588213433,83,-37.62,-73.65,11.14,1.53
mecca,2,SA,1588213433,48,21.43,39.83,24.7,2.29
lincoln,1,US,1588213403,51,40.8,-96.67,16.11,3.6
camabatela,10,AO,1588213433,67,-8.19,15.38,17.58,1.16
horsham,100,GB,1588213433,93,51.06,-0.33,7.22,3.6
luanda,40,AO,1588213433,88,-8.84,13.23,25.0,1.5
port macquarie,98,AU,1588213377,63,-31.43,152.92,27.22,2.68
langsa,79,ID,1588213434,73,4.47,97.97,29.39,0.2
manta,20,EC,1588213301,74,-0.95,-80.73,26.0,3.6
puerto ayacucho,81,VE,1588213434,75,5.66,-67.62,26.02,1.73
broome,75,US,1588213434,70,42.25,-75.83,11.67,12.3
buta,100,CD,1588213434,80,2.79,24.73,21.21,0.48
slave lake,1,CA,1588213434,28,55.28,-114.77,14.0,1.0
gloucester,51,GB,1588213435,92,51.87,-2.24,7.78,1.34
aguimes,20,ES,1588213435,68,27.91,-15.45,18.0,8.2
pemangkat,0,ID,1588213435,71,1.17,108.97,28.86,0.89
cayenne,90,GF,1588213435,100,4.93,-52.33,24.0,6.17
hobyo,100,SO,1588213435,74,5.35,48.53,29.46,7.51
rio grande,0,BR,1588213177,74,-32.03,-52.1,14.44,7.06
bembereke,99,BJ,1588213436,65,10.23,2.66,25.81,4.29
gustrow,75,DE,1588213436,100,53.8,12.17,7.22,1.0
jumla,48,NP,1588213436,28,29.27,82.18,13.92,0.71
lasa,52,IT,1588213436,92,46.62,10.7,4.44,1.0
karratha,9,AU,1588213436,19,-20.74,116.85,27.33,12.55
nicoya,96,CR,1588213436,88,10.15,-85.45,20.56,8.05
bereznik,100,RU,1588213437,97,62.86,42.71,-0.56,3.23
fukuma,20,JP,1588213437,46,33.77,130.47,23.33,3.1
isangel,75,VU,1588213437,70,-19.55,169.27,30.0,4.1
uglovskoye,100,RU,1588213437,52,51.36,80.19,15.69,0.9
wanning,46,CN,1588213437,76,18.8,110.4,27.02,2.68
kirillov,99,RU,1588213437,91,59.86,38.38,0.28,3.75
jawhar,100,SO,1588213438,83,2.78,45.5,26.27,4.73
male,40,MV,1588213439,89,4.17,73.51,29.0,3.1
north battleford,1,CA,1588213364,31,52.78,-108.28,17.22,1.5
nemuro,20,JP,1588213439,26,43.32,145.57,21.0,7.7
garissa,100,KE,1588213407,73,-0.45,39.64,25.48,6.83
nebolchi,97,RU,1588213440,98,59.12,33.35,-1.01,3.06
tromso,0,NO,1588213204,68,69.65,18.96,-4.0,10.3
darhan,51,MN,1588213441,30,49.49,105.92,22.62,7.56
portmore,20,JM,1588213155,69,17.97,-76.87,28.0,5.1
nelson bay,75,AU,1588213441,83,-32.72,152.15,22.22,2.6
kavaratti,100,IN,1588213442,66,10.57,72.64,29.37,1.5
brownfield,0,US,1588213442,22,33.18,-102.27,21.11,2.16
saint-pierre,75,RE,1588213442,83,-21.34,55.48,22.0,4.1
smithers,90,CA,1588213416,34,54.78,-127.17,12.0,1.5
xuddur,74,SO,1588213442,73,4.12,43.89,23.53,6.52
marsh harbour,58,BS,1588213442,81,26.54,-77.06,24.57,9.99
zafra,100,ES,1588213443,92,38.42,-6.42,13.33,2.24
natal,75,BR,1588213443,94,-5.79,-35.21,24.0,3.1
grand bank,0,CA,1588213444,90,47.1,-55.77,0.9,3.85
san borja,100,BO,1588213444,90,-14.82,-66.85,23.01,1.14
sorong,93,ID,1588213184,77,-0.88,131.25,27.65,5.05
isilkul,100,RU,1588213444,68,54.91,71.27,10.01,6.49
juneau,90,US,1588213444,81,58.3,-134.42,7.0,8.2
seoul,1,KR,1588213325,52,37.57,126.98,20.0,3.89
fairbanks,1,US,1588213378,40,64.84,-147.72,3.0,5.7
havre-saint-pierre,1,CA,1588213445,80,50.23,-63.6,1.0,1.0
ouahigouya,8,BF,1588213445,27,13.58,-2.42,33.8,4.33
bengkulu,87,ID,1588213445,64,-3.8,102.27,29.04,1.03
hirtshals,99,DK,1588213445,71,57.59,9.96,8.33,10.29
kloulklubed,90,PW,1588213445,83,7.04,134.26,28.0,2.1
dayong,26,CN,1588213445,61,25.02,118.29,27.0,2.0
lahaina,20,US,1588213362,57,20.88,-156.68,27.0,9.3
guarapuava,100,BR,1588213445,67,-25.4,-51.46,14.48,0.38
alugan,100,PH,1588213446,71,12.22,125.48,29.12,5.17
darovskoy,100,RU,1588213446,86,58.77,47.96,3.3,3.18
olafsvik,72,IS,1588213446,78,64.89,-23.71,4.59,7.28
teloloapan,62,MX,1588213446,37,18.35,-99.85,21.11,3.02
northam,69,GB,1588213447,90,51.03,-4.22,7.22,5.81
bartica,20,GY,1588213447,94,6.4,-58.62,23.0,1.0
